Accession_number,sampling_date,collected_by,total_num_reads,num_reads_aligned_PF,avg_coverage_X,genomic_coordinates_0X_nt,genomic_coordinates_<10X_nt,genomic_coordinates_0X_pct,genomic_coordinates_<10X_pct,avg_read_quality,avg_read_quality_PF,avg_read_length,avg_read_length_PF,k2_hits_SC2,k2_hits_human,k2_hits_28384,k2_pct_SC2,k2_pct_human,k2_pct_28384,QC_determination,QC_issues
SRR16828363,2021-10-07,Missing,632664,137117,692X,62,93,0,0,37.8,37.9,151,151,71091,1414,224188,22.47,0.45,70.87,not_performed,None
SRR16828364,2021-10-07,Missing,458116,177478,896X,32,62,0,0,37.8,37.9,151,151,90754,810,47922,39.62,0.35,20.92,not_performed,None
SRR16828365,2021-10-07,Missing,351980,54281,274X,32,87,0,0,37.8,37.9,151,151,27783,841,52868,15.79,0.48,30.04,not_performed,None
SRR16828366,2021-10-04,Missing,322968,21226,107X,301,4017,1,13,37.8,37.9,151,151,10925,514,61339,6.77,0.32,37.98,not_performed,None
SRR16828367,2021-10-04,Missing,250920,24752,124X,100,2294,0,7,37.8,37.9,151,151,12656,532,23957,10.09,0.42,19.10,not_performed,None
SRR16828368,2021-10-04,Missing,261146,20964,105X,144,1894,0,6,37.8,37.9,151,151,10730,322,11052,8.22,0.25,8.46,not_performed,None
SRR16828369,2021-10-04,Missing,333366,22160,111X,32,729,0,2,37.7,37.9,151,151,11406,1334,18549,6.84,0.80,11.13,not_performed,None
SRR16828370,2021-10-04,Missing,384632,18791,94X,394,3376,1,11,37.7,37.8,151,151,9700,473,19109,5.04,0.25,9.94,not_performed,None
SRR16828371,2021-10-14,Missing,403370,39248,198X,62,163,0,0,37.8,37.9,151,151,20572,4584,107228,10.20,2.27,53.17,not_performed,None
SRR16828372,2021-10-12,Missing,325846,63982,323X,62,128,0,0,37.8,37.9,151,151,32931,2439,69461,20.21,1.50,42.63,not_performed,None
SRR16828373,2021-10-12,Missing,271852,21943,110X,116,2247,0,7,37.8,37.9,151,151,11416,1519,33009,8.40,1.12,24.28,not_performed,None
SRR16828374,2021-10-11,Missing,307272,25614,129X,124,1717,0,5,37.8,37.9,151,151,13296,2276,47015,8.65,1.48,30.60,not_performed,None
SRR16828375,2021-10-11,Missing,148574,7375,37X,1688,12230,5,40,37.8,37.9,151,151,3788,254,10981,5.10,0.34,14.78,not_performed,None
SRR16828376,2021-10-07,Missing,479676,90263,455X,62,93,0,0,37.8,37.9,151,151,46098,1146,77072,19.22,0.48,32.14,not_performed,None
SRR16828377,2021-10-07,Missing,401236,28574,144X,118,1555,0,5,37.8,37.9,151,151,14824,697,52847,7.39,0.35,26.34,not_performed,None
SRR16828378,2021-10-04,Missing,236128,32036,161X,166,229,0,0,37.7,37.8,151,151,16414,540,27853,13.90,0.46,23.59,not_performed,None
SRR16828379,2021-10-04,Missing,288528,23233,117X,62,1032,0,3,37.8,37.9,151,151,11866,792,10593,8.23,0.55,7.34,not_performed,None
SRR17066048,2021-10-25,FDA Center for Food Safety and Applied Nutrition,5668942,4421649,28686X,5409,7530,18,25,36.1,36.3,195,194,2285474,331,19,80.63,0.01,0.00,not_performed,None
SRR17066049,2021-10-25,FDA Center for Food Safety and Applied Nutrition,2654612,104748,504X,227,1199,0,4,36.9,37.0,144,144,54266,3644,214,4.09,0.27,0.02,not_performed,None
SRR17066050,2021-10-25,FDA Center for Food Safety and Applied Nutrition,3917538,91138,441X,181,1510,0,5,36.8,36.9,145,145,46784,4422,15,2.39,0.23,0.00,not_performed,None
SRR17066051,2021-10-25,FDA Center for Food Safety and Applied Nutrition,3651432,3352659,27805X,60,89,0,0,36.1,36.2,249,248,1701937,314,0,93.22,0.02,0.00,not_performed,None
SRR17066052,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3605360,2897226,22187X,10829,13374,36,44,36.6,36.7,229,229,1468136,1165,2,81.44,0.06,0.00,not_performed,None
SRR17066053,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3188018,6243,29X,12961,19145,43,64,36.9,37.0,142,142,3230,8540,579,0.20,0.54,0.04,not_performed,None
SRR17066054,2021-09-20,FDA Center for Food Safety and Applied Nutrition,4513822,2301581,17779X,4610,6184,15,20,36.4,36.5,231,231,1168079,2621,52,51.76,0.12,0.00,not_performed,None
SRR17066055,2021-09-20,FDA Center for Food Safety and Applied Nutrition,3341206,10453,50X,6771,12690,22,42,36.8,37.0,144,144,5357,7065,368,0.32,0.42,0.02,not_performed,None
SRR17074181,2021-10-25,FDA Center for Food Safety and Applied Nutrition,274910,62973,1301X,103,5165,0,17,19.3,19.3,618,618,61315,7760,1,22.30,2.82,0.00,not_performed,None
SRR17074182,2021-10-25,FDA Center for Food Safety and Applied Nutrition,149943,18161,528X,116,2895,0,9,18.7,18.7,871,871,19278,5359,0,12.86,3.57,0.00,not_performed,None
SRR17074183,2021-09-20,FDA Center for Food Safety and Applied Nutrition,345486,2054,119X,100,5168,0,17,19.5,19.5,1733,1733,4222,8747,0,1.22,2.53,0.00,not_performed,None
SRR17074184,2021-09-20,FDA Center for Food Safety and Applied Nutrition,36083,1552,46X,3522,16662,11,55,18.6,18.6,896,896,1912,1367,0,5.30,3.79,0.00,not_performed,None
SRR17074229,2021-10-25,FDA Center for Food Safety and Applied Nutrition,94830,47996,1027X,290,514,0,1,17.5,17.5,640,640,46979,87,0,49.54,0.09,0.00,not_performed,None
SRR17074230,2021-10-25,FDA Center for Food Safety and Applied Nutrition,530625,412170,9014X,68,84,0,0,17.7,17.7,654,654,401762,277,0,75.71,0.05,0.00,not_performed,None
SRR17074231,2021-09-20,FDA Center for Food Safety and Applied Nutrition,96643,43860,968X,767,4029,2,13,17.7,17.7,660,660,42886,114,1,44.38,0.12,0.00,not_performed,None
SRR17074232,2021-09-20,FDA Center for Food Safety and Applied Nutrition,73774,15914,350X,84,2504,0,8,17.4,17.4,659,659,15310,88,0,20.75,0.12,0.00,not_performed,None
SRR17146296,2021-11-30,FDA Center for Food Safety and Applied Nutrition,69146,3274,70X,1379,6624,4,22,17.6,17.6,641,641,3278,246,1,4.74,0.36,0.00,not_performed,None
SRR17146297,2021-11-30,FDA Center for Food Safety and Applied Nutrition,76659,6951,148X,519,1311,1,4,17.2,17.2,637,637,6828,273,0,8.91,0.36,0.00,not_performed,None
SRR17146298,2021-11-30,FDA Center for Food Safety and Applied Nutrition,85550,14090,296X,929,2055,3,6,17.2,17.2,629,629,13846,706,0,16.18,0.83,0.00,not_performed,None
SRR17146299,2021-11-30,FDA Center for Food Safety and Applied Nutrition,62786,4133,86X,550,4614,1,15,17.3,17.3,626,626,4084,218,0,6.50,0.35,0.00,not_performed,None
SRR17146300,2021-11-30,FDA Center for Food Safety and Applied Nutrition,46847,7038,130X,948,4169,3,13,17.6,17.6,553,553,6722,166,0,14.35,0.35,0.00,not_performed,None
